date_time,WS_10_mean,WS_10_min,WS_10_max,WS_10_stdv,WS_20_mean,WS_20_min,WS_20_max,WS_20_stdv,WS_40a_mean,WS_40a_min,WS_40a_max,WS_40a_stdv,WS_60_mean,WS_60_min,WS_60_max,WS_60_stdv,WD_20_mean,WD_20_min,WD_20_max,WD_20_stdv,WD_60_mean,WD_60_min,WD_60_max,WD_60_stdv,Tair_mean,Tair_min,Tair_max,Tair_stdv,Tgrad_mean,Tgrad_min,Tgrad_max,Tgrad_stdv,Pbaro_mean,Pbaro_min,Pbaro_max,Pbaro_stdv,RH_mean,RH_min,RH_max,RH_stdv
2021-01-01 00:10:00,-0.07894010128913408,-0.01589600000000779,-0.07073721362799561,-0.011831834254143586,-0.07149392633517529,-0.015888771639045986,-0.08446639410681676,-0.008789020257827015,-0.04222920810313077,-0.028512360957644915,0.03257617679557555,-0.002248631675874746,0.008442917127075589,0.018635313075498275,0.04928934438304523,-0.0006196390423571963,0.07130411325407315,0.06853549328313055,0.07075118201864423,-0.001580872630058412,0.0681356605297147,0.06111065725557051,0.06723424393461035,-0.0010374227431151162,-0.07712154696132792,-0.07247361878452696,-0.0784766574585668,-0.0030221616022099423,0.023775469613259798,0.03160837016574585,0.017802486187845287,-0.004188232044198901,0.252549723756822,0.25131077348057035,0.24868232044205796,-0.0006114171270718198,-0.08450036832412422,-0.08233221224677578,-0.07483293508287474,0.004053502302025775
2021-01-01 01:10:00,-0.19053210128913406,-0.11513600000000779,-0.1699692136279956,-0.017383834254143585,-0.1895019263351753,-0.11517677163904601,-0.18376239410681677,-0.022789020257827017,-0.1617332081031308,-0.1028963609576449,-0.16577582320442438,-0.016776631675874745,-0.13422908287292437,-0.12998068692450168,-0.12409465561695485,-0.004579639042357196,0.05022053588998162,0.04172723597249771,0.05287901047822228,-0.0016143829516967057,0.041187776878922264,0.02773996195743891,0.03623719641919102,-0.0002275899701897466,-0.09092154696132794,-0.08867361878452694,-0.09707665745856683,-0.0022001616022099425,0.0353554696132598,0.029508370165745854,0.030702486187845286,0.0018717679558010987,0.27054972375681924,0.27531077348057575,0.26668232044205525,-0.0006414171270718198,-0.029200368324124214,-0.02923221224677576,-0.02243293508287479,0.005403502302025774
2021-01-01 02:10:00,-0.11699610128913407,-0.06552000000000778,-0.19477721362799563,-0.027455834254143587,-0.08738192633517528,-0.04070477163904599,-0.1589383941068168,-0.026213020257827013,-0.07049320810313077,0.02107163904235513,-0.14097582320442442,-0.029472631675874744,-0.0733010828729244,0.018635313075498275,-0.1488626556169548,-0.025187639042357195,0.017408345952488205,0.013801967940588434,0.016436535696580636,-0.0033764673645101805,0.01563615662972527,0.016709481084834794,0.008730807407760359,-0.003570244553609288,-0.11852154696132788,-0.1150736187845269,-0.12527665745856675,-0.0031181616022099424,0.0234754696132598,0.025188370165745856,0.022122486187845288,-0.0009482320441989012,0.25854972375682334,0.2633107734805731,0.26068232044205386,-8.941712707182026e-05,-0.06830036832412419,-0.07143221224677575,-0.06183293508287477,0.0029435023020257744
2021-01-01 03:10:00,-0.11874010128913408,-0.040704000000007776,-0.19477721362799563,-0.025079834254143583,-0.05758992633517529,-0.015888771639045986,-0.13411439410681675,-0.02566902025782701,-0.020413208103130815,0.04586363904235512,-0.09139182320442438,-0.03200063167587474,-0.01830908287292438,0.06817131307549829,-0.09932665561695486,-0.0321236390423572,0.002468327555416785,0.005843266551494253,-0.004647041667510834,-0.0049109608428635956,0.0027905333350469875,0.010286669437495668,-0.00816397975154473,-0.004606271997593121,-0.11972154696132786,-0.11747361878452696,-0.1234766574585668,-0.0013601616022099426,0.06313546961325979,0.06820837016574585,0.06082248618784529,-0.0032882320441989005,0.27054972375681924,0.2693107734805744,0.26668232044205525,-0.00105541712707182,-0.09170036832412422,-0.0863322122467757,-0.0863329350828748,-3.1497697974225414e-05
2021-01-01 04:10:00,-0.13262810128913408,-0.040704000000007776,-0.19477721362799563,-0.031527834254143586,-0.09770192633517524,-0.015888771639045986,-0.13411439410681675,-0.030733020257827013,-0.09131720810313076,-0.0037203609576448573,-0.11618382320442436,-0.020592631675874745,-0.06834108287292438,-0.006132686924501698,-0.12409465561695485,-0.019299639042357195,0.004981601678288641,0.010869814797237894,-0.009533963573094972,-0.004926319740281146,0.002511280654727912,0.007214889953985626,-0.004533694907396572,-0.003521375334553446,-0.14972154696132786,-0.1456736187845269,-0.15167665745856684,-0.0025601616022099425,0.0430954696132598,0.046668370165745855,0.039282486187845286,-0.002628232044198901,0.30054972375681926,0.3053107734805758,0.2966823204420552,0.0001385828729281796,-0.09700036832412423,-0.08873221224677565,-0.10403293508287476,-0.004137497697974225
2021-01-01 05:10:00,-0.18487610128913406,-0.11513600000000779,-0.21958521362799566,-0.024583834254143584,-0.13305392633517527,-0.090352771639046,-0.18376239410681677,-0.024525020257827015,-0.024869208103130803,0.02107163904235513,-0.11618382320442436,-0.029320631675874745,-0.007413082872924406,0.06817131307549829,-0.07455865561695489,-0.024643639042357196,-0.0011619572887314078,-0.006024972362067196,-0.0005978778028839926,-0.0013700368564175003,-0.0023756412508562264,0.008471527015421537,-0.013330154337447943,-0.0053030074349892575,-0.14492154696132786,-0.14387361878452692,-0.14747665745856683,-0.0013181616022099427,0.09355546961325979,0.09622837016574584,0.09106248618784529,-0.0014282320441989008,0.34254972375682197,0.3413107734805703,0.3446823204420593,9.658287292818008e-05,-0.17670036832412414,-0.18193221224677572,-0.16833293508287475,0.005643502302025775
2021-01-01 06:10:00,-0.18894810128913406,-0.0903280000000078,-0.26920121362799565,-0.04204783425414359,-0.17118192633517523,-0.06552877163904601,-0.2830503941068167,-0.04304502025782702,-0.1280132081031308,-0.05331236095764488,-0.21535982320442437,-0.03452863167587474,-0.08865308287292437,0.018635313075498275,-0.17363865561695485,-0.036187639042357195,-0.03439302624670347,-0.027806681426956425,-0.05156149196111841,-0.005831098424515005,-0.02904427222132956,-0.016800840553456348,-0.04404794917254815,-0.006160313163568873,-0.14612154696132792,-0.1498736187845269,-0.14927665745856677,-0.0008441616022099424,0.0610354696132598,0.05956837016574585,0.05866248618784528,-0.0008282320441989011,0.3845497237568247,0.3833107734805731,0.38668232044205525,-0.0002034171270718202,-0.18420036832412415,-0.17823221224677574,-0.18773293508287472,-0.0023004976979742247
2021-01-01 07:10:00,-0.1439401012891341,-0.11513600000000779,-0.14516121362799567,-0.002303834254143586,-0.16467792633517525,-0.11517677163904601,-0.1589383941068168,0.002330979742172987,-0.18593320810313083,-0.1524883609576449,-0.19056782320442436,0.012927368324125253,-0.20804508287292436,-0.1795166869245017,-0.1984066556169548,0.014436360957642808,-0.032298631144310266,-0.03255397699238102,-0.03327044140021787,-0.0022692304870449765,-0.03253493072531821,-0.03299749601196371,-0.03608924778345401,-0.0018821621010803714,-0.14612154696132792,-0.146273618784527,-0.14627665745856674,6.183839779005773e-05,-0.009584530386740201,-0.000551629834254147,-0.012257513812154711,-0.0031082320441989005,0.42054972375681926,0.4193107734805744,0.4106823204420539,-0.0018354171270718199,-0.1968003683241242,-0.2184322122467757,-0.18203293508287474,0.011283502302025777
2021-01-01 08:10:00,-0.10425210128913406,-0.11513600000000779,-0.04592921362799565,0.01322416574585641,-0.15614192633517526,-0.164824771639046,-0.10929039410681675,0.013802979742172995,-0.20602120810313082,-0.2268643609576449,-0.16577582320442438,0.016151368324125254,-0.2284530828729244,-0.2538286869245017,-0.17363865561695485,0.019788360957642803,-0.04179322227515939,-0.07458150538040444,-0.03019866191670783,0.007533934855556772,-0.04161064283568873,-0.06455304888802121,-0.018775581603670235,0.008940275524686066,-0.08552154696132795,-0.08327361878452695,-0.08927665745856679,-0.0008921616022099421,-0.039764530386740195,-0.03691162983425414,-0.037937513812154704,0.0015717679558010992,0.4265497237568206,0.43131077348057034,0.7346823204420593,0.014688582872928178,-0.2872003683241242,-0.28643221224677573,-0.27763293508287473,0.0006685023020257752
2021-01-01 09:10:00,-0.14542810128913405,-0.18956000000000778,-0.09554521362799562,0.03411216574585642,-0.1864219263351753,-0.23928877163904602,-0.05964239410681664,0.042346979742173,-0.23562120810313075,-0.3260403609576449,-0.14097582320442442,0.04897536832412525,-0.2568370828729244,-0.3529006869245017,-0.1488626556169548,0.0580843609576428,-0.03369489454590571,-0.09859723588784643,0.01797242543833569,0.013705419090608722,-0.03993512675377417,-0.08158746238748588,0.008451554727441284,0.014986096053594425,-0.0381215469613279,-0.040073618784526914,-0.02987665745856688,0.0027258383977900574,-0.060464530386740205,-0.06895162983425414,-0.05077751381215471,0.004511767955801098,0.432549723756822,0.4373107734805717,0.43468232044205934,-0.0011934171270718199,-0.3069003683241242,-0.3099322122467757,-0.29523293508287474,0.002313502302025775
