date_time,WS_20_mean,WS_20_min,WS_20_max,WS_20_stdv,WD_20_mean,WD_20_min,WD_20_max,WD_20_stdv,Tair_mean,Pbaro_mean,WD_20_mean_rad,WD_20_max_rad,WD_20_min_rad,WD_20_stdv_rad,year,month
2019-08-26 06:10:00,-0.040353957990867356,0.04547619999999874,-0.13791082009132688,-0.03692479086757975,272.82,258.22,282.42,3.907,-0.2383146305193331,0.18195205479457288,0.23844042835522003,0.20592701551461204,0.24403277249675995,-0.01019884056930437,2019,8
2019-08-26 07:10:00,0.05795004200913269,0.04547619999999874,0.209609179908673,0.008355209132420258,277.72,262.12,298.32,5.386,-0.24781463051933308,0.19695205479457628,0.25212380969085574,0.2503281916853476,0.25492362702920446,-0.00606869342738499,2019,8
2019-08-26 08:10:00,-0.0487939579908673,-0.004171800000001298,-0.08827082009132696,-0.025804790867579745,280.72,263.32,295.12,5.292999999999998,-0.24381463051933308,0.22195205479457628,0.26050139010042855,0.24139210591513674,0.25827465919303366,-0.006328398420081751,2019,8
2019-08-26 09:10:00,-0.039857957990867304,-0.004171800000001298,-0.08827082009132696,-0.019300790867579753,285.12,256.82,300.72,5.6370000000000005,-0.24781463051933308,0.24195205479457516,0.27278850803446847,0.25703025601300594,0.24012323497229263,-0.005367769199784065,2019,8
2019-08-26 10:10:00,0.24362204200913262,0.11994019999999872,0.3585451799086731,0.05441920913242025,268.02,239.22,294.42,9.27,-0.19031463051933306,0.24195205479457516,0.22503629969990357,0.23943733715290308,0.19097476323613222,0.00477748067620857,2019,8
2019-08-26 11:10:00,0.45312604200913265,0.29370019999999875,0.6315931799086729,0.06598720913242026,261.42,237.72,283.92,7.7029999999999985,-0.18181463051933308,0.236952054794574,0.2066056227988436,0.2101158057193983,0.1867859730313458,0.0004015911756083845,2019,8
2019-08-26 12:10:00,0.5231260420091326,0.3433481999999987,0.6564171799086731,0.059043209132420255,264.62,238.02,289.92,10.53,-0.1758146305193331,0.22695205479457173,0.21554170856905458,0.22687096653854397,0.18762373107230318,0.008296064448229142,2019,8
2019-08-26 13:10:00,0.41440604200913267,0.24406019999999884,0.581945179908673,0.06658720913242026,271.32,248.72,292.42,7.919,-0.16131463051933306,0.21695205479457513,0.23425163815043376,0.23385228354652113,0.2175037678664461,0.001004776965097629,2019,8
2019-08-26 14:10:00,0.46404604200913263,0.24406019999999884,0.532305179908673,0.05412320913242025,276.02,255.02,298.52,6.394,-0.17031463051933304,0.21195205479457402,0.24737651412543102,0.2508866970459857,0.23509668672654896,-0.0032538264097685342,2019,8
2019-08-26 15:10:00,0.36674204200913274,0.11994019999999872,0.532305179908673,0.08361120913242026,286.02,261.12,316.12,8.65,-0.2348146305193331,0.21695205479457513,0.2753017821573404,0.30003516878214614,0.25213110022601354,0.003046114058230196,2019,8
2019-08-26 16:10:00,0.22127804200913267,0.11994019999999872,0.308897179908673,0.05119520913242025,281.52,253.22,304.32,7.073,-0.23331463051933304,0.22195205479457628,0.26273541154298113,0.2670833525044932,0.23007013848080518,-0.0013577007104018924,2019,8
2019-08-26 17:10:00,0.1334060420091327,0.11994019999999872,0.15996117990867306,0.009099209132420247,278.32,262.12,293.02,5.247999999999998,-0.2428146305193331,0.236952054794574,0.2537993257727702,0.23552779962843573,0.25492362702920446,-0.006454062126225342,2019,8
2019-08-26 18:10:00,-0.01453795799086734,0.020652199999998757,0.011025179908672982,-0.008724790867579744,275.32,259.92,296.92,5.307,-0.25331463051933306,0.2719520547945763,0.24542174536319736,0.24641865416088038,0.24878006806218453,-0.006289303044837071,2019,8
2019-08-26 19:10:00,0.006814042009132635,0.07030019999999873,-0.03862282009132699,-0.025708790867579746,271.92,261.32,285.22,3.662,-0.2263146305193331,0.28695205479457403,0.23592715423234836,0.21374609056354657,0.2526896055866517,-0.010883009636086148,2019,8
2019-08-26 20:10:00,-0.09048995799086733,-0.028995800000001282,-0.13791082009132688,-0.02530879086757975,275.42,262.12,288.12,4.33,-0.2468146305193331,0.3069520547945729,0.24570099804351656,0.2218444182928002,0.25492362702920446,-0.00901760173155461,2019,8
2019-08-26 21:10:00,-0.12325795799086735,-0.004171800000001298,-0.187558820091327,-0.04819679086757975,279.42,268.22,289.92,3.28,-0.23681463051933305,0.311952054794574,0.2568711052562803,0.22687096653854397,0.2719580405286692,-0.011949754874905084,2019,8
2019-08-26 22:10:00,-0.11084995799086735,-0.004171800000001298,-0.11309482009132701,-0.03295679086757975,277.92,267.72,298.22,3.858,-0.24181463051933305,0.32695205479457173,0.25268231505149386,0.25004893900502867,0.2705617771270738,-0.010335674382660724,2019,8
2019-08-26 23:10:00,-0.21495395799086736,-0.1034598000000013,-0.311670820091327,-0.045020790867579756,286.32,272.52,301.62,6.702000000000001,-0.2858146305193331,0.3319520547945729,0.2761395401982976,0.2595435301358778,0.28396590578239017,-0.002393728154385728,2019,8
2019-08-27 00:10:00,-0.16098595799086732,-0.07863580000000127,-0.21238282009132697,-0.02754079086757975,293.82,262.72,313.62,7.2970000000000015,-0.3373146305193331,0.32695205479457173,0.29708349122222955,0.2930538517741688,0.25659914311111903,-0.0007321747064871254,2019,8
2019-08-27 01:10:00,-0.22989795799086735,-0.1034598000000013,-0.311670820091327,-0.043084790867579756,308.92,289.82,324.72,6.522,-0.32431463051933307,0.311952054794574,0.33925064595041265,0.3240508992895882,0.3322766194775932,-0.0028963829789600947,2019,8
2019-08-27 02:10:00,-0.18596195799086737,-0.07863580000000127,-0.262030820091327,-0.03235679086757974,293.62,278.62,309.52,5.377999999999999,-0.32381463051933307,0.30195205479457177,0.29652498586159143,0.281604491881086,0.3010003192818549,-0.00609103364181052,2019,8
