date_time,WS_10mean_x,WS_10mean_y,WS_20mean_x,WS_20mean_y,WS_40mean_x,WS_40mean_y,WS_60mean_x,WS_60mean_y,Tair_mean,Pbaro_mean
2019-01-01 00:10:00,-0.022856161593134198,0.0059198055205330335,-0.025946884660651415,0.0054577009865271675,-0.03421791691072068,0.01718080992310709,-0.043283828571057045,0.0167084415595073,0.1081668325326002,-0.10624315068488442
2019-01-01 01:10:00,-0.028654176207820996,-0.08072489291745405,-0.0330546984464724,-0.09387522161803137,-0.03867351402510321,-0.09557457477099478,-0.03816454129999114,-0.09357906109370688,0.11671683253260026,-0.12874315068488443
2019-01-01 02:10:00,-0.07484483690273998,-0.10524902624941256,-0.09265518673588333,-0.13195586453299007,-0.1114258343201572,-0.17363355876378417,-0.11582620874953291,-0.17937020998761466,0.10906683253260017,-0.1467431506848834
2019-01-01 03:10:00,0.001446297455069631,-0.17086054967946182,-0.0016111587105438945,-0.23851292397876367,-0.0032412376920058594,-0.2596936259692892,-0.0020681454831848953,-0.24930456021247155,0.08026683253260015,-0.1737431506848844
2019-01-01 04:10:00,-0.022678352402685564,-0.1290078086706734,-0.03201636007878208,-0.17287236228335393,-0.08652597407031201,-0.20824030327058934,-0.09603534572071495,-0.22920094933106488,0.06181683253260031,-0.15574315068488545
2019-01-01 05:10:00,-0.12060565002233158,-0.18471082425386584,-0.13932889019746794,-0.21456017939890024,-0.17710072117595482,-0.25496237451938364,-0.19479526603750974,-0.27962555021274854,0.05911683253260021,-0.13774315068488135
2019-01-01 06:10:00,-0.10869018032654904,-0.14657982465408992,-0.12882547608479208,-0.17517907367381488,-0.1750743006718186,-0.2125095029718772,-0.1948138431193257,-0.23602050787409742,0.046066832532600244,-0.10624315068488442
2019-01-01 07:10:00,-0.09620823421449476,-0.16154175745348395,-0.10784333284530062,-0.18212122331736127,-0.12017249605463029,-0.22344454933052763,-0.12922056088310926,-0.23904167923037803,0.05686683253260018,-0.09724315068488237
2019-01-01 08:10:00,-0.012250468339067982,-0.28553563424480766,-0.014225523362110826,-0.3271507891893454,0.011609046917550546,-0.3438133535012731,0.012115343944829809,-0.34538072172410733,0.07711683253260031,-0.0792431506848834
2019-01-01 09:10:00,0.02592531227755008,-0.27739082852307356,0.029093023665871846,-0.3113339626979481,0.04338793892674142,-0.3295906273485625,0.04439285149764109,-0.33365425780155256,0.10636683253260024,-0.07474315068488238
2019-01-01 10:10:00,-0.04603759425369505,-0.32213385242301146,-0.05080218683231218,-0.3577750183907043,-0.04346780263222412,-0.38115026978665495,-0.04512789841284411,-0.39397387813863965,0.12121683253260016,-0.0567431506848834
2019-01-01 11:10:00,-0.0533868915698881,-0.4402411059737881,-0.05990208938762213,-0.4951848283574371,-0.04308928807455956,-0.5240525709838779,-0.0434997815294429,-0.5308272161002175,0.12166683253260023,-0.04774315068488136
2019-01-01 12:10:00,-0.03016756749616603,-0.4492444818219312,-0.033366255038347795,-0.5003768587042586,-0.02399938041862169,-0.5437230872572715,-0.024407929713889172,-0.554975301757235,0.13606683253260024,-0.0342431506848834
2019-01-01 13:10:00,0.018210034625113215,-0.42631658639050174,0.02045856714864996,-0.477955345005195,0.0368833663059287,-0.5033667751587724,0.037916250690156895,-0.5143720162443042,0.1855668325326003,-0.038743150684884424
2019-01-01 14:10:00,-0.05615777259369847,-0.47114213066343125,-0.06215740340868706,-0.5239235641840627,-0.06391370551496223,-0.5532123438574673,-0.06388952657219804,-0.5549717118666225,0.19366683253260028,-0.02974315068488238
2019-01-01 15:10:00,-0.050267487042095445,-0.5023445883412029,-0.05599762620768972,-0.5616543076656929,-0.05775597465867827,-0.5967668782125519,-0.05758962631087414,-0.5979775496666786,0.19591683253260017,-0.02974315068488238
2019-01-01 16:10:00,-0.05840464315362685,-0.4510569826110016,-0.06608856843553504,-0.5109122794626834,-0.05291147549048016,-0.5566165886736293,-0.053580664442187266,-0.5647520346671273,0.17026683253260017,-0.02974315068488238
2019-01-01 17:10:00,-0.06583487458127152,-0.4492842527761985,-0.07529524373695975,-0.5136605004980431,-0.06481609597967794,-0.5522397516153608,-0.06644510482229805,-0.5655953793483401,0.1531668325326002,-0.038743150684884424
2019-01-01 18:10:00,-0.23209810898936215,-0.2228862492555981,-0.2704615933629714,-0.26129586919665515,-0.3303494013264181,-0.2903996941634584,-0.35563315161685627,-0.3121420681983142,0.0784668325326002,-0.016243150684884425
2019-01-01 19:10:00,-0.2506786441011628,-0.0669305661276137,-0.30064994755701224,-0.08304477050084623,-0.35386352904320045,-0.10420684820242831,-0.3790345132956763,-0.1114547270553495,0.045166832532600266,0.02425684931511455
2019-01-01 20:10:00,-0.3155001578800579,-0.06779826103882285,-0.3815646704050917,-0.08508754542144947,-0.45386920561445715,-0.09355946441882065,-0.4865055115118167,-0.1002141438943051,-0.0020831674673997646,0.08275684931511762
2019-01-01 21:10:00,-0.29420222383745953,-0.023425142177251602,-0.37558884481907123,-0.0349047796184921,-0.4389049012264262,-0.04697196716487763,-0.46834969513874747,-0.04998210809586776,-0.00883316746739978,0.1277568493151176
2019-01-01 22:10:00,-0.28879044731899645,-0.016526529300178262,-0.3513642396524017,-0.023581627899282694,-0.4054609581432613,-0.02987948344126505,-0.41709917574637423,-0.029511910739864235,-0.0034331674673997357,0.17275684931511762
2019-01-01 23:10:00,-0.20006726113147136,-0.007638570459737971,-0.26156708903941683,-0.015783163449223314,-0.3428458711204575,-0.004214174767954917,-0.3839788877017161,-0.006186755084719683,0.009616832532600225,0.18625684931511557
